100	
         -551.079335367991         -7748.15579477307	1
         -273.684090131794          -5649.8014311805	3
         -1647.46180990803         -5588.98011102735	1
         -1566.31484717975         -5290.55084831347	4
         -773.932196711419         -4463.44204689905	3
         -1369.09358112587           -4748.313532071	4
         -1733.75556333933         -6519.72304967477	4
         -879.938860015663         -5178.00904391711	2
         -843.817370353248         -5522.82895271593	2
         -1652.43641366638         -5085.17218046954	1
         -2151.00184484255          -6420.2372338479	3
         -2666.04717481696         -5290.09130190966	1
         -2617.91164253072         -5337.79204159127	4
         -749.782314695035         -6862.91738267364	3
         -606.481825751494         -6261.21444875963	1
          270.831483211401         -6134.75817797139	4
         -1217.44633292495         -6252.14212881182	4
         -2040.61675209458         -5132.13034890939	4
         -1436.61395306463         -6307.43164441457	3
         -737.678726995328          -7888.8453652264	2
         -927.979495167923          -5168.0108800299	1
         -887.580423599874         -5212.50747578424	3
         -44.1797148590382         -5595.68694496946	2
         -66.7963519359559         -7405.87153606802	4
         -1046.98423622299          -6681.0532988395	4
          50.1508743740409         -7523.40085128117	4
         -795.934233595931         -6800.65146703635	2
         -1139.05130510159         -7789.39032763898	2
         -935.820831062758         -4690.38028182795	3
         -839.615803479049         -7788.84904964935	1
         -1971.13170792918         -5393.42349044374	1
         -785.978132292061          -7896.9700015418	4
         -2048.05045816497         -4445.34403598174	2
         -740.019926099165          -8076.3601692906	2
         -891.976905504779         -7666.75635876096	2
         -224.618035348227         -5409.64174316068	4
         -2423.92574702157         -6221.84023378626	1
         -1459.07606933256         -4670.04762411146	3
         -1832.03036476143         -5835.52797400903	3
         -1443.74785001951         -4678.08247983216	1
         -449.012444747943         -4602.95917006055	3
         -3297.96125379468          -5855.8431665489	2
         -1176.23302911368         -6119.59081743444	2
         -583.003008402095         -8043.13199633024	2
         -409.631950751625         -5424.21785659612	2
         -187.293565520404         -6985.03988955617	3
         -2404.02036790933         -4804.82964655685	2
          34.7154229677915         -6892.43607747982	4
         -623.040854728045         -4273.87510918904	3
           -452.4086675561         -5360.73343299742	4
          307.479540673861         -6888.06197325605	1
         -1027.36089044242         -7739.69933044902	2
         -910.869599879764          -5031.7302502863	1
         -1553.86829049611         -4920.98050191586	4
         -689.114079217693         -7531.99649200924	1
         -594.035399516155         -7822.87418345929	3
           -2429.481698074          -6084.3735403987	2
         -2641.46464953242         -5527.53111364169	2
         -1758.02219556824         -6083.25562656889	3
         -2373.58698286065         -4631.03686389286	2
         -1532.99235344757         -4883.22405491062	4
          273.043753622763         -6953.80772074986	3
         -1313.28963972136         -5478.56788872572	1
         -1215.89868795409         -5400.05598806562	1
         -456.276493664513          -4592.2436323509	1
         -182.702063640372         -5245.54204535765	1
         -1017.40961048054         -7475.92968057809	1
         -877.864540754354         -5125.83125481222	2
         -1150.41159281349         -6995.71681078135	1
         -479.312139648093         -6596.94472578631	4
          117.568735228455         -6703.93914178307	4
         -2030.63342581219         -5657.79658845432	1
         -595.654283565133         -7514.22152868486	1
         -3113.64290663601          -5878.3297160205	1
         -1410.88681882945         -5352.69767329134	4
         -302.970982926536         -5630.19042825537	1
         -2278.64344586413          -4842.6570940375	2
             -1758.3063065         -4888.66563898255	3
         -517.494162671525         -7457.34348228635	4
         -2397.03360614497         -6173.94737882726	1
         -278.787479008309          -5701.5306575109	2
          88.5195509735096         -6152.14078250717	4
          -518.65190908135         -6363.36611897783	4
         -3173.49970480829         -5972.43302832995	2
         -2024.65052023301         -4684.83702698581	4
          -1292.7342437382         -6147.28813071455	3
         -792.962797660106         -5069.01544879388	4
         -2187.58926606903          -6312.7716272329	1
         -1274.36435692192         -6700.22125857229	4
         -1666.86003599892         -5870.29620337763	3
         -2040.15668287505         -5396.41982973172	2
         -1673.72791504321         -4821.59912778545	2
         -34.4430474466038         -6105.56617456782	3
         -2524.60620420269         -5010.02784266165	2
         -1053.73216647761         -5776.24978389332	3
         -1827.86963000204         -6208.59805134536	3
         -2222.76874048216         -4763.10675451705	3
          -2469.9049622612         -5922.16210969292	3
         -1804.24375230386         -6504.94774927092	3
         -1544.18612335054         -5465.40362929603	3
